ID,Year,Name
15393.0,2012.0,Elminage Gothic: Ulm Zakir to Yami no Gishiki
15387.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7
15386.0,2012.0,Samurai & Dragons
15374.0,2012.0,Jewel Link: Galactic Quest
15361.0,2013.0,Bella Sara 2 - The Magic of Drasilmare
15360.0,2013.0,Saki: Achiga-Hen Portable
15355.0,2015.0,Hakuoki: Shinkai - Furi no Shou
15352.0,2012.0,Oil Rush
15350.0,2012.0,The Idolmaster: Gravure For You! Vol.8
15345.0,2012.0,Rinne no Lagrange: Kamogawa Days
15343.0,2013.0,Toki no Kizuna: Hanayui Tsuzuri
15335.0,2012.0,Gal Gun
15334.0,2014.0,The Awakened Fate Ultimatum
15313.0,2013.0,Dungeons & Dragons: Shadow over Mystara
15308.0,2015.0,Rugby League Team Manager 2015
15297.0,2012.0,Detective Jinguuji Saburo: Ronde Revenge
15272.0,2013.0,Sniper Elite V2
15269.0,2013.0,Shiratsuyu no Kai
15267.0,2012.0,Shinken de Watashi ni Koi Shinasai! R
15256.0,2014.0,Canimal Triple
15255.0,2014.0,Date A Live: Arusu Install
15241.0,2012.0,The Idolmaster: Gravure For You! Vol.9
15238.0,2012.0,Dies Irae: Amantes Amentes
15230.0,2012.0,UnchainBlades EXXiV
15228.0,2015.0,Diabolik Lovers: More Blood
15226.0,2012.0,Kannou Mukashi Banashi Portable
15219.0,2012.0,Genroh
15196.0,2014.0,Motto! SoniComi
15172.0,2013.0,Zillions of Enemy X: Zetsukai no Crusade
15160.0,2015.0,Ukiyo no Roushi
15144.0,2013.0,Invizimals: The Lost Kingdom
15143.0,2014.0,Uta Kumi 575
15132.0,2012.0,Moujuutsukai to Oujisama: Snow Bride Portable
15127.0,2015.0,To Love-Ru Trouble: Darkness - True Princess
15107.0,2012.0,Brave: The Video Game
15103.0,2013.0,Geten no Hana
15084.0,2012.0,X3: Terran War Pack
15081.0,2013.0,HatsuKare * Renai Debut Sengen!
15074.0,2015.0,Thomas and Friends: Steaming around Sodor
15059.0,2012.0,Xia-Xia
15054.0,2012.0,Natalie Brooks: Mystery at Hillcrest High
15050.0,2012.0,Strike Witches: Shirogane no Tsubasa
15043.0,2015.0,Winning Post 8 2015
15033.0,2013.0,Urakata Hakuoki
15004.0,2015.0,Cross Ange: Tenshi to Ryuu no Rondo tr.
14996.0,2012.0,Tropico 4: Modern Times
14988.0,2014.0,Diabolik Lovers: Vandead Carnival
14981.0,2015.0,Blade Arcus from Shining EX
14980.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6
14975.0,2015.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1
14974.0,2014.0,Omega Quintet
14955.0,2012.0,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai
14951.0,2014.0,Juusanshi Engi Engetsu Sangokuden 2
14940.0,2012.0,The Idolmaster: Gravure For You! Vol.7
14927.0,2013.0,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru
14914.0,2014.0,Senjou no Waltz
14892.0,2013.0,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi
