id_number,publisher_name,genre,global_sales
13732,GameMill Entertainment,Action,0.04
13727,Idea Factory,Action,0.04
13719,Konami Digital Entertainment,Action,0.04
13707,Spike,Role-Playing,0.17
13695,Cloud Imperium Games Corporation,Fighting,0.08
13685,Ubisoft,Misc,0.04
13655,Ubisoft,Action,0.04
13654,Namco Bandai Games,Action,0.04
13647,Namco Bandai Games,Action,0.04
13634,Funbox Media,Action,0.04
13609,Namco Bandai Games,Fighting,0.04
13600,FuRyu,Action,0.04
13590,Namco Bandai Games,Simulation,0.04
13567,D3Publisher,Platform,0.04
13558,Compile Heart,Role-Playing,0.04
13556,Namco Bandai Games,Action,0.04
13546,Nordic Games,Shooter,0.06
13498,Tecmo Koei,Simulation,0.04
13486,Aksys Games,Role-Playing,0.07
13477,Namco Bandai Games,Action,0.04
13475,Tecmo Koei,Role-Playing,0.26
13447,Idea Factory,Adventure,0.05
13443,Warner Bros. Interactive Entertainment,Action,0.05
13410,Tecmo Koei,Role-Playing,0.32
13409,Sega,Role-Playing,0.05
13404,Namco Bandai Games,Racing,0.05
13398,Idea Factory,Action,0.05
13393,FuRyu,Action,0.05
13375,Arc System Works,Adventure,0.08
13363,Nippon Ichi Software,Adventure,0.09
13356,Activision,Action,0.08
13328,Sony Computer Entertainment,Adventure,0.05
13306,Capcom,Action,0.05
13287,Deep Silver,Action,0.05
13284,Idea Factory,Adventure,0.05
13277,Idea Factory,Misc,0.05
13275,Namco Bandai Games,Adventure,0.05
13262,Namco Bandai Games,Role-Playing,0.05
13228,Alchemist,Action,0.05
13192,Nintendo,Misc,0.05
13190,Genki,Action,0.05
13170,Square Enix,Role-Playing,0.05
13159,Microsoft Game Studios,Sports,0.05
13157,Level 5,Action,0.05
13133,Nippon Ichi Software,Role-Playing,0.55
13130,Namco Bandai Games,Action,0.09
13128,Tecmo Koei,Sports,0.07
13098,D3Publisher,Racing,0.64
13094,Namco Bandai Games,Role-Playing,0.08
13083,PQube,Adventure,0.13
13077,Aqua Plus,Adventure,0.16
13075,Namco Bandai Games,Action,0.05
13048,Namco Bandai Games,Shooter,0.12
13027,Marvel Entertainment,Action,0.05
13015,Xseed Games,Shooter,0.05
13006,Nippon Ichi Software,Role-Playing,0.05
12993,Kadokawa Shoten,Adventure,0.05
