id_number,year_release,game_name
15230,2012,UnchainBlades EXXiV
15228,2015,Diabolik Lovers: More Blood
15226,2012,Kannou Mukashi Banashi Portable
15219,2012,Genroh
15196,2014,Motto! SoniComi
15172,2013,Zillions of Enemy X: Zetsukai no Crusade
15160,2015,Ukiyo no Roushi
15144,2013,Invizimals: The Lost Kingdom
15143,2014,Uta Kumi 575
15132,2012,Moujuutsukai to Oujisama: Snow Bride Portable
15127,2015,To Love-Ru Trouble: Darkness - True Princess
15107,2012,Brave: The Video Game
15103,2013,Geten no Hana
15084,2012,X3: Terran War Pack
15081,2013,HatsuKare * Renai Debut Sengen!
15074,2015,Thomas and Friends: Steaming around Sodor
15059,2012,Xia-Xia
15054,2012,Natalie Brooks: Mystery at Hillcrest High
15050,2012,Strike Witches: Shirogane no Tsubasa
15043,2015,Winning Post 8 2015
15033,2013,Urakata Hakuoki
15004,2015,Cross Ange: Tenshi to Ryuu no Rondo tr.
14996,2012,Tropico 4: Modern Times
14988,2014,Diabolik Lovers: Vandead Carnival
14981,2015,Blade Arcus from Shining EX
14980,2015,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6
14975,2015,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1
14974,2014,Omega Quintet
14955,2012,Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai
14951,2014,Juusanshi Engi Engetsu Sangokuden 2
14940,2012,The Idolmaster: Gravure For You! Vol.7
14927,2013,Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru
14914,2014,Senjou no Waltz
14892,2013,Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi
14885,2015,God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2
14884,2012,Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue
14880,2013,D.C. III: Da Capo III
14879,2012,Combat Wings: The Great Battles of WWII
14864,2012,Capcom Digital Collection
14862,2015,MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All
14860,2012,Little Busters! Converted Edition
14849,2012,Tokushu Houdoubu
14833,2014,Senran Kagura: Bon App̩tit!
14831,2015,Dream Girl Premier
14821,2013,Monster High 13 Wishes
14819,2014,The Legend of Korra (3DS)
14816,2015,Kisuato
14813,2015,Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku
14806,2012,Touch Shot! Love Application
14795,2014,AMNESIA World
14773,2012,Brothers Conflict: Passion Pink
14769,2013,Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku
14760,2015,Let's Sing 2016
14757,2015,Xblaze: Lost Memories
14751,2012,Eureka Seven AO: Jungfrau no Hanabanatachi
14749,2012,Tiger & Bunny: On-Air Jack!
14745,2012,Jewel Quest 5: The Sleepless Star
14729,2012,Jewel Match 2
14702,2015,Gudetama: Hanjuku de Tanomuwa
14697,2013,Labyrinth Cross Blood: Infinity
14690,2013,Samurai Warriors 2
14688,2015,Harukanaru Toki no Naka de 6
14684,2012,Secrets of the Titanic
14681,2012,The IdolM@ster: Gravure For You! Vol. 6
14678,2012,Harukanaru Toki no Naka de 5: Kazahanaki
14661,2013,Kamigami no Asobi
14650,2015,Parfait
14649,2012,Botanicula
14634,2015,The Great Mystery Hidden Object Package 5
14628,2015,Romance of the Three Kingdoms II
14619,2015,New Tokyo Legacy: Operation Babel
14618,2014,Nisekoi: Yomeiri!?
14609,2012,Detective Opera: Milky Holmes 2
14604,2015,OZMAFIA!! -vivace-
14591,2013,Megpoid the Music#
14585,2014,HappinessCharge PreCure! Kawarun Collection
14584,2015,Higurashi no Naku Koro ni Iki
14579,2012,Heroes of Hellas 2: Olympia
14570,2012,Oumagatoki: Kaidan Romance
14562,2015,Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special
14557,2013,Beyblade Evolution
14552,2015,Phantasy Star Online 2: Episode 3 Deluxe Package
14548,2015,Kung Fu Panda: Showdown of Legendary Legends
14530,2013,Muv-Luv Alternative: Total Eclipse
14511,2012,The Idolmaster: Gravure For You! Vol. 5
14486,2014,Cabela's Big Game Hunter: Pro Hunts
14484,2014,Power Rangers Super Megaforce
14482,2015,The Peanuts Movie: Snoopy's Grand Adventure
14480,2015,Shantae and the Pirate's Curse
14473,2014,Great Edo Blacksmith
14470,2015,Langrisser: Re:Incarnation Tensei
14464,2015,Renai Revenge
14458,2012,Kyokugen Dasshutsu ADV: Zennin Shiboudesu
14444,2012,Jyuzaengi: Engetsu Sangokuden
14441,2015,Bad Apple Wars
14440,2015,Ebikore Photo Kano Kiss
14435,2015,Alia's Carnival! Sacrament
14428,2013,Renai 0 Kilometer
14406,2013,Darkstalkers Resurrection
14405,2012,Zero Escape: Virtue's Last Reward
14397,2015,Airship Q
14395,2014,Infinite Stratos 2: Ignition Hearts
14385,2015,Hakuoki Zuisouroku Omokage Hana
14382,2015,Medabots 9: Metabee / Rokusho
14378,2014,Hajime no Ippo: The Fighting! (2014)
14376,2013,Brothers Conflict: Brilliant Blue
14370,2013,Toaru Majutsu no Kagaku no Ensemble
14362,2015,PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!
14361,2015,Gal Gun: Double Peace
14353,2015,A Good Librarian Like a Good Shepherd: Library Party
14351,2013,Sorcery Saga: The Curse of the Great Curry God
14343,2013,Exstetra
14333,2013,The Inner World
14328,2012,Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai
