ID,Publisher,Genre,Global_Sales
14833.0,Marvelous Entertainment,Misc,0.03
14831.0,Alchemist,Misc,0.03
14821.0,Little Orbit,Action,0.05
14819.0,Activision,Strategy,0.03
14816.0,TGL,Adventure,0.03
14813.0,FuRyu,Simulation,0.03
14806.0,Compile Heart,Adventure,0.03
14795.0,Idea Factory,Adventure,0.03
14773.0,Idea Factory,Action,0.03
14769.0,Arc System Works,Fighting,0.03
14760.0,FuRyu Corporation,Action,0.03
14757.0,Arc System Works,Adventure,0.05
14751.0,Namco Bandai Games,Action,0.03
14749.0,Namco Bandai Games,Action,0.03
14745.0,Licensed 4U,Action,0.07
14729.0,Easy Interactive,Puzzle,0.03
14702.0,Rocket Company,Action,0.03
14697.0,CyberFront,Role-Playing,0.03
14690.0,Tecmo Koei,Action,0.72
14688.0,Tecmo Koei,Action,0.05
14684.0,Avanquest Software,Action,0.03
14681.0,Namco Bandai Games,Action,0.03
14678.0,Ackkstudios,Role-Playing,0.03
14661.0,Broccoli,Adventure,0.03
14650.0,TGL,Adventure,0.03
14649.0,Daedalic Entertainment,Adventure,0.03
14634.0,Rondomedia,Adventure,0.03
14628.0,Tecmo Koei,Strategy,0.28
14619.0,5pb,Role-Playing,0.03
14618.0,Konami Digital Entertainment,Adventure,0.03
14609.0,BushiRoad,Adventure,0.03
14604.0,dramatic create,Adventure,0.03
14591.0,Asgard,Misc,0.03
14585.0,Namco Bandai Games,Misc,0.03
14584.0,Kaga Create,Action,0.04
14579.0,Unknown,Puzzle,0.03
14570.0,Quinrose,Action,0.03
14562.0,Compile Heart,Role-Playing,0.03
14557.0,Rising Star Games,Action,0.03
14552.0,Sega,Action,0.03
14548.0,Little Orbit,Action,0.07
14530.0,5pb,Simulation,0.03
14511.0,Namco Bandai Games,Misc,0.03
14486.0,Activision,Shooter,0.08
14484.0,Namco Bandai Games,Action,0.03
14482.0,Activision,Action,0.09
14480.0,Intergrow,Platform,0.03
14473.0,Nippon Ichi Software,Adventure,0.03
14470.0,Extreme Entertainment Group,Role-Playing,0.03
14464.0,TGL,Adventure,0.03
14458.0,ChunSoft,Adventure,0.06
14444.0,Idea Factory,Action,0.03
14441.0,Idea Factory,Action,0.03
14440.0,Kadokawa Games,Action,0.03
14435.0,dramatic create,Adventure,0.03
14428.0,Alchemist,Adventure,0.03
14406.0,Capcom,Fighting,0.03
14405.0,Rising Star Games,Adventure,0.03
14397.0,Cygames,Platform,0.03
14395.0,5pb,Adventure,0.06
14385.0,Idea Factory,Action,0.03
14382.0,Rocket Company,Role-Playing,0.03
14378.0,Namco Bandai Games,Sports,0.03
14376.0,Idea Factory,Adventure,0.03
14370.0,Namco Bandai Games,Adventure,0.03
14362.0,Namco Bandai Games,Action,0.03
14361.0,PQube,Action,0.03
14353.0,Kaga Create,Action,0.03
14351.0,Rising Star Games,Role-Playing,0.03
14343.0,FuRyu,Role-Playing,0.04
14333.0,Headup Games,Adventure,0.03
14328.0,D3Publisher,Adventure,0.03
14319.0,Namco Bandai Games,Action,0.03
14314.0,N/A,Action,0.03
14312.0,Reef Entertainment,Adventure,0.1
14300.0,Namco Bandai Games,Adventure,0.06
14294.0,Rocket Company,Role-Playing,0.03
14282.0,Office Create,Simulation,0.03
14279.0,Namco Bandai Games,Action,0.03
14277.0,Big Fish Games,Action,0.03
14276.0,Unknown,Role-Playing,0.03
14271.0,Level 5,Misc,0.03
14262.0,imageepoch Inc.,Role-Playing,0.03
14261.0,Namco Bandai Games,Simulation,0.03
14252.0,Unknown,Action,0.03
14251.0,Namco Bandai Games,Action,0.03
14247.0,Tru Blu Entertainment,Action,0.09
14230.0,Namco Bandai Games,Fighting,0.06
14228.0,Agatsuma Entertainment,Platform,0.03
14215.0,Sega,Action,0.03
14210.0,Namco Bandai Games,Action,0.03
14193.0,Tecmo Koei,Strategy,0.03
14177.0,Idea Factory,Action,0.03
14173.0,Nippon Ichi Software,Role-Playing,0.03
14170.0,Maximum Family Games,Action,0.03
14158.0,Unknown,Action,0.5
14156.0,Nippon Ichi Software,Action,0.03
14147.0,Kadokawa Games,Role-Playing,0.03
14145.0,Fields,Misc,0.03
14144.0,Focus Home Interactive,Sports,0.05
14128.0,Namco Bandai Games,Action,0.03
14126.0,Office Create,Simulation,0.03
14117.0,Namco Bandai Games,Misc,0.03
14110.0,Shogakukan,Misc,0.03
14108.0,D3Publisher,Action,0.06
14103.0,D3Publisher,Sports,0.13
14097.0,Ubisoft,Role-Playing,0.04
14093.0,Prototype,Adventure,0.05
14085.0,Ubisoft,Action,0.04
14055.0,Tecmo Koei,Strategy,0.04
14029.0,Capcom,Action,0.04
14026.0,Namco Bandai Games,Role-Playing,0.04
13992.0,Daedalic Entertainment,Adventure,0.04
13990.0,Nippon Ichi Software,Role-Playing,0.04
13979.0,Namco Bandai Games,Role-Playing,0.07
13978.0,Idea Factory,Adventure,0.04
13976.0,Idea Factory,Action,0.04
13957.0,GungHo,Role-Playing,0.46
13938.0,Namco Bandai Games,Misc,0.04
13933.0,5pb,Adventure,0.09
13932.0,Unknown,Simulation,0.04
13924.0,Namco Bandai Games,Action,0.04
13922.0,Namco Bandai Games,Action,0.04
13918.0,Take-Two Interactive,Strategy,0.04
13917.0,Ubisoft,Misc,0.04
13903.0,Namco Bandai Games,Action,0.04
13889.0,Nintendo,Action,0.04
13869.0,Koch Media,Puzzle,0.04
13866.0,Experience Inc.,Role-Playing,0.04
13862.0,Namco Bandai Games,Action,0.04
13856.0,Idea Factory International,Role-Playing,0.04
13840.0,FuRyu,Action,0.04
13838.0,Electronic Arts,Simulation,0.04
13822.0,Unknown,Adventure,0.1
13792.0,Compile Heart,Adventure,0.04
13773.0,Happinet,Adventure,0.04
13762.0,Sega,Sports,0.04
13761.0,Sony Computer Entertainment,Action,0.04
13759.0,Unknown,Racing,0.09
13748.0,Ackkstudios,Action,0.04
13733.0,Take-Two Interactive,Sports,0.04
13732.0,GameMill Entertainment,Action,0.04
13727.0,Idea Factory,Action,0.04
13719.0,Konami Digital Entertainment,Action,0.04
13707.0,Spike,Role-Playing,0.17
13695.0,Cloud Imperium Games Corporation,Fighting,0.08
13685.0,Ubisoft,Misc,0.04
13655.0,Ubisoft,Action,0.04
13654.0,Namco Bandai Games,Action,0.04
13647.0,Namco Bandai Games,Action,0.04
13634.0,Funbox Media,Action,0.04
13609.0,Namco Bandai Games,Fighting,0.04
13600.0,FuRyu,Action,0.04
13590.0,Namco Bandai Games,Simulation,0.04
13567.0,D3Publisher,Platform,0.04
13558.0,Compile Heart,Role-Playing,0.04
13556.0,Namco Bandai Games,Action,0.04
13546.0,Nordic Games,Shooter,0.06
13498.0,Tecmo Koei,Simulation,0.04
13486.0,Aksys Games,Role-Playing,0.07
13477.0,Namco Bandai Games,Action,0.04
13475.0,Tecmo Koei,Role-Playing,0.26
13447.0,Idea Factory,Adventure,0.05
13443.0,Warner Bros. Interactive Entertainment,Action,0.05
13410.0,Tecmo Koei,Role-Playing,0.32
13409.0,Sega,Role-Playing,0.05
13404.0,Namco Bandai Games,Racing,0.05
13398.0,Idea Factory,Action,0.05
13393.0,FuRyu,Action,0.05
13375.0,Arc System Works,Adventure,0.08
13363.0,Nippon Ichi Software,Adventure,0.09
13356.0,Activision,Action,0.08
13328.0,Sony Computer Entertainment,Adventure,0.05
13306.0,Capcom,Action,0.05
13287.0,Deep Silver,Action,0.05
13284.0,Idea Factory,Adventure,0.05
13277.0,Idea Factory,Misc,0.05
13275.0,Namco Bandai Games,Adventure,0.05
13262.0,Namco Bandai Games,Role-Playing,0.05
13228.0,Alchemist,Action,0.05
13192.0,Nintendo,Misc,0.05
13190.0,Genki,Action,0.05
13170.0,Square Enix,Role-Playing,0.05
13159.0,Microsoft Game Studios,Sports,0.05
13157.0,Level 5,Action,0.05
13133.0,Nippon Ichi Software,Role-Playing,0.55
13130.0,Namco Bandai Games,Action,0.09
13128.0,Tecmo Koei,Sports,0.07
13098.0,D3Publisher,Racing,0.64
13094.0,Namco Bandai Games,Role-Playing,0.08
13083.0,PQube,Adventure,0.13
13077.0,Aqua Plus,Adventure,0.16
13075.0,Namco Bandai Games,Action,0.05
13048.0,Namco Bandai Games,Shooter,0.12
13027.0,Marvel Entertainment,Action,0.05
13015.0,Xseed Games,Shooter,0.05
13006.0,Nippon Ichi Software,Role-Playing,0.05
12993.0,Kadokawa Shoten,Adventure,0.05
12962.0,D3Publisher,Role-Playing,0.05
12951.0,Atlus,Role-Playing,0.4
12950.0,Nordic Games,Role-Playing,0.34
12949.0,Namco Bandai Games,Shooter,0.05
12942.0,Tecmo Koei,Racing,0.09
12941.0,Namco Bandai Games,Action,0.05
12935.0,5pb,Adventure,0.07
12920.0,Tecmo Koei,Strategy,0.09
12919.0,Namco Bandai Games,Action,0.05
12918.0,FuRyu,Action,0.05
12916.0,Namco Bandai Games,Misc,0.05
12889.0,WayForward Technologies,Adventure,0.05
12861.0,Aksys Games,Action,0.05
12859.0,Kaga Create,Misc,0.05
12855.0,Sega,Misc,0.05
12832.0,Electronic Arts,Action,0.09
12824.0,Kadokawa Shoten,Adventure,0.05
12807.0,Tecmo Koei,Strategy,0.25
12802.0,Bigben Interactive,Sports,0.12
12784.0,Nordic Games,Sports,0.08
12767.0,DTP Entertainment,Adventure,0.06
12758.0,Namco Bandai Games,Action,0.06
12756.0,Kadokawa Shoten,Adventure,0.23
12749.0,Level 5,Role-Playing,0.06
12746.0,Sony Computer Entertainment,Adventure,0.06
12744.0,Idea Factory,Action,0.06
12731.0,Tecmo Koei,Action,0.06
12713.0,Square Enix,Role-Playing,0.06
12695.0,Deep Silver,Racing,0.11
12691.0,Tecmo Koei,Action,0.1
12681.0,Nippon Ichi Software,Adventure,0.06
12652.0,Namco Bandai Games,Role-Playing,0.06
12645.0,Rising Star Games,Puzzle,0.06
12640.0,Telltale Games,Adventure,0.17
12627.0,5pb,Action,0.16
12614.0,Marvelous Entertainment,Role-Playing,0.06
12612.0,Namco Bandai Games,Adventure,0.06
12610.0,Namco Bandai Games,Role-Playing,0.06
12604.0,Kadokawa Shoten,Role-Playing,0.06
12599.0,FuRyu,Action,0.06
12573.0,Capcom,Action,0.17
12562.0,Compile Heart,Role-Playing,0.06
12559.0,Take-Two Interactive,Fighting,0.64
12558.0,505 Games,Action,0.09
12541.0,Namco Bandai Games,Role-Playing,0.06
12522.0,Namco Bandai Games,Action,0.06
12520.0,Nihon Falcom Corporation,Role-Playing,0.26
12495.0,Namco Bandai Games,Action,0.06
12486.0,Namco Bandai Games,Action,0.06
12476.0,Namco Bandai Games,Strategy,0.06
12449.0,Deep Silver,Role-Playing,0.33
12439.0,Sega,Action,0.06
12433.0,Namco Bandai Games,Action,0.13
12428.0,Nintendo,Action,0.06
12423.0,Namco Bandai Games,Adventure,0.06
12413.0,Activision,Shooter,0.16
12407.0,ArtDink,Simulation,0.06
12400.0,Namco Bandai Games,Misc,0.06
12391.0,D3Publisher,Action,0.06
12375.0,Nintendo,Puzzle,0.07
12361.0,Namco Bandai Games,Action,0.06
12341.0,Sony Computer Entertainment,Action,0.79
12337.0,5pb,Adventure,0.08
12335.0,Microsoft Game Studios,Fighting,0.06
12328.0,Nordic Games,Action,0.22
12313.0,Ackkstudios,Action,0.06
12289.0,D3Publisher,Action,0.06
12282.0,Revolution Software,Adventure,0.07
12259.0,Idea Factory,Strategy,0.06
12250.0,Avanquest,Puzzle,0.06
12245.0,FuRyu,Misc,0.07
12237.0,Happinet,Adventure,0.07
12220.0,Namco Bandai Games,Strategy,0.07
12213.0,Sony Computer Entertainment,Racing,0.07
12207.0,Nippon Ichi Software,Role-Playing,0.07
12199.0,Idea Factory International,Role-Playing,0.07
12195.0,Compile Heart,Role-Playing,0.23
12169.0,Namco Bandai Games,Action,0.13
12166.0,FuRyu,Action,0.07
12160.0,Namco Bandai Games,Role-Playing,0.07
12147.0,Activision,Role-Playing,0.07
12117.0,Namco Bandai Games,Action,0.07
12110.0,Nordic Games,Action,1.42
12107.0,Little Orbit,Action,0.18
12105.0,Kalypso Media,Strategy,0.12
12084.0,Namco Bandai Games,Action,0.07
12078.0,Ubisoft,Action,0.12
12072.0,Nippon Columbia,Action,0.07
12065.0,Namco Bandai Games,Action,0.07
12061.0,Unknown,Action,0.07
12049.0,Ubisoft,Action,2.49
12030.0,Kalypso Media,Simulation,0.14
12026.0,Marvelous Entertainment,Misc,0.07
12024.0,FuRyu,Action,0.07
12022.0,Kadokawa Shoten,Role-Playing,0.32
12019.0,Activision,Puzzle,0.07
12000.0,Namco Bandai Games,Strategy,0.1
11980.0,Namco Bandai Games,Adventure,0.07
11962.0,Falcom Corporation,Role-Playing,0.23
11944.0,Namco Bandai Games,Adventure,0.07
11938.0,Namco Bandai Games,Role-Playing,0.07
11909.0,Namco Bandai Games,Action,0.07
11899.0,Namco Bandai Games,Misc,0.07
11898.0,Nippon Ichi Software,Role-Playing,0.13
11895.0,Capcom,Shooter,0.12
11879.0,Namco Bandai Games,Role-Playing,3.14
11873.0,Ubisoft,Sports,0.25
11860.0,Alchemist,Misc,0.07
11848.0,Sony Computer Entertainment,Action,0.07
11845.0,Aqua Plus,Adventure,0.18
11841.0,Ackkstudios,Sports,0.11
11840.0,Nippon Ichi Software,Role-Playing,0.07
11828.0,Mad Catz,Simulation,0.07
11815.0,Daedalic Entertainment,Adventure,0.07
11799.0,Konami Digital Entertainment,Adventure,0.07
11797.0,Sega,Role-Playing,0.07
11793.0,Namco Bandai Games,Fighting,0.07
11788.0,Namco Bandai Games,Role-Playing,0.25
11785.0,Kadokawa Shoten,Adventure,0.16
11781.0,Screenlife,Fighting,0.07
11775.0,Namco Bandai Games,Misc,0.07
11774.0,Success,Adventure,0.07
11765.0,505 Games,Misc,0.14
11759.0,Rocket Company,Role-Playing,0.07
11735.0,Tecmo Koei,Role-Playing,0.2
11731.0,Alchemist,Action,0.08
11713.0,Spike,Role-Playing,0.08
11703.0,Compile Heart,Role-Playing,0.08
11687.0,Ubisoft,Shooter,0.09
11684.0,Tecmo Koei,Action,0.14
11629.0,Capcom,Role-Playing,0.11
11622.0,Namco Bandai Games,Action,0.08
11606.0,Rocket Company,Role-Playing,0.08
11602.0,Unknown,Sports,0.11
11575.0,Deep Silver,Action,1.49
11559.0,PQube,Action,0.08
11554.0,Ubisoft,Action,0.22
11542.0,Sony Computer Entertainment,Action,0.08
11527.0,Namco Bandai Games,Action,0.08
11523.0,FuRyu,Action,0.08
11519.0,Nippon Columbia,Misc,0.08
11510.0,Acquire,Adventure,0.08
11500.0,Namco Bandai Games,Adventure,0.38
11484.0,Nippon Ichi Software,Role-Playing,0.28
11475.0,Broccoli,Action,0.08
11429.0,Takara Tomy,Misc,0.08
11409.0,Namco Bandai Games,Simulation,0.14
11407.0,Namco Bandai Games,Fighting,0.4
11387.0,Seventh Chord,Action,0.08
11386.0,Takara Tomy,Misc,0.08
11341.0,Koch Media,Simulation,0.08
11329.0,Namco Bandai Games,Adventure,0.08
11313.0,Tecmo Koei,Action,0.08
11285.0,Nordic Games,Racing,0.11
11267.0,Square Enix,Action,0.1
11254.0,Namco Bandai Games,Action,0.08
11246.0,Namco Bandai Games,Role-Playing,0.16
11238.0,Nintendo,Misc,0.09
11214.0,Ubisoft,Strategy,0.09
11205.0,Little Orbit,Action,0.17
11180.0,Deep Silver,Action,0.17
11173.0,Activision,Platform,0.17
11153.0,Namco Bandai Games,Role-Playing,0.09
11150.0,Capcom,Action,0.14
11135.0,Idea Factory International,Action,0.09
11131.0,Tecmo Koei,Strategy,0.11
11077.0,Tecmo Koei,Action,0.2
11068.0,Broccoli,Adventure,0.09
11066.0,Acquire,Role-Playing,0.09
11053.0,Nintendo,Role-Playing,1.02
11035.0,FuRyu,Misc,0.09
11008.0,505 Games,Fighting,0.3
10994.0,Nintendo,Action,0.09
10979.0,Namco Bandai Games,Action,0.16
10959.0,Capcom,Shooter,0.09
10925.0,Nintendo,Puzzle,0.09
10919.0,Namco Bandai Games,Action,0.09
10906.0,Capcom,Action,3.07
10903.0,Atlus,Role-Playing,0.09
10895.0,Broccoli,Adventure,0.09
10893.0,Ubisoft,Action,0.13
10892.0,Activision,Action,2.23
10866.0,Activision,Action,0.19
10865.0,Namco Bandai Games,Platform,0.31
10858.0,Namco Bandai Games,Action,0.09
10813.0,Namco Bandai Games,Sports,0.21
10810.0,Nippon Ichi Software,Role-Playing,0.23
10807.0,Disney Interactive Studios,Action,0.19
10788.0,Image Epoch,Role-Playing,0.1
10785.0,Gust,Adventure,0.1
10758.0,inXile Entertainment,Role-Playing,0.25
10728.0,Capcom,Fighting,0.1
10699.0,Type-Moon,Adventure,0.1
10688.0,Namco Bandai Games,Role-Playing,0.1
10675.0,D3Publisher,Action,0.1
10662.0,Tecmo Koei,Role-Playing,0.19
10660.0,Namco Bandai Games,Fighting,0.16
10635.0,Aqua Plus,Fighting,0.1
10599.0,Activision,Racing,0.18
10591.0,Namco Bandai Games,Action,0.16
10573.0,Namco Bandai Games,Role-Playing,0.1
